2026-06-07T23:02:32.904005800 | IP=192.168.1.12 | METHOD=CONNECT | URL=ssl.gstatic.com | STATUS=PERMITIDO_HTTPS | BYTES=0
2026-06-07T23:02:39.631545100 | IP=192.168.1.12 | METHOD=GET | URL=www.msftncsi.com | STATUS=PERMITIDO | BYTES=187
2026-06-07T23:02:40.545012500 | IP=192.168.1.12 | METHOD=CONNECT | URL=mobile.events.data.microsoft.com | STATUS=PERMITIDO_HTTPS | BYTES=11468
2026-06-07T23:02:40.842355700 | IP=192.168.1.12 | METHOD=CONNECT | URL=beacons4.gvt2.com | STATUS=PERMITIDO_HTTPS | BYTES=9101
2026-06-07T23:02:40.966337500 | IP=192.168.1.12 | METHOD=CONNECT | URL=beacons4.gvt2.com | STATUS=PERMITIDO_HTTPS | BYTES=6818
2026-06-07T23:02:41.023940200 | IP=192.168.1.12 | METHOD=CONNECT | URL=login.microsoftonline.com | STATUS=PERMITIDO_HTTPS | BYTES=10281
2026-06-07T23:02:41.633905300 | IP=192.168.1.12 | METHOD=CONNECT | URL=chatgpt.com | STATUS=PERMITIDO_HTTPS | BYTES=20195
2026-06-07T23:02:41.784836800 | IP=192.168.1.12 | METHOD=CONNECT | URL=beacons.gcp.gvt2.com | STATUS=PERMITIDO_HTTPS | BYTES=894
2026-06-07T23:02:42.149000900 | IP=192.168.1.12 | METHOD=CONNECT | URL=beacons.gvt2.com | STATUS=PERMITIDO_HTTPS | BYTES=4766
2026-06-07T23:02:42.264368100 | IP=192.168.1.12 | METHOD=CONNECT | URL=beacons.gvt2.com | STATUS=PERMITIDO_HTTPS | BYTES=2501
2026-06-07T23:02:43.434051400 | IP=192.168.1.12 | METHOD=CONNECT | URL=drive.google.com | STATUS=PERMITIDO_HTTPS | BYTES=13600
2026-06-07T23:02:43.552620100 | IP=192.168.1.12 | METHOD=CONNECT | URL=peoplestack-pa.clients6.google.com | STATUS=PERMITIDO_HTTPS | BYTES=17075
2026-06-07T23:02:45.452207300 | IP=192.168.1.12 | METHOD=CONNECT | URL=www.canva.com | STATUS=PERMITIDO_HTTPS | BYTES=13504
2026-06-07T23:02:45.467672 | IP=192.168.1.12 | METHOD=CONNECT | URL=mobile.events.data.microsoft.com | STATUS=PERMITIDO_HTTPS | BYTES=15501
2026-06-07T23:02:45.530712600 | IP=192.168.1.12 | METHOD=CONNECT | URL=ssl.gstatic.com | STATUS=PERMITIDO_HTTPS | BYTES=5390
2026-06-07T23:02:46.018184 | IP=192.168.1.12 | METHOD=CONNECT | URL=play.google.com | STATUS=PERMITIDO_HTTPS | BYTES=12962
2026-06-07T23:02:46.347714 | IP=192.168.1.12 | METHOD=CONNECT | URL=docs.google.com | STATUS=PERMITIDO_HTTPS | BYTES=8440
2026-06-07T23:02:47.733528200 | IP=192.168.1.11 | METHOD=CONNECT | URL=github.com | STATUS=PERMITIDO_HTTPS | BYTES=10318
2026-06-07T23:02:48.038494100 | IP=192.168.1.12 | METHOD=CONNECT | URL=login.microsoftonline.com | STATUS=PERMITIDO_HTTPS | BYTES=14414
2026-06-07T23:02:48.186009800 | IP=192.168.1.11 | METHOD=CONNECT | URL=alive.github.com | STATUS=PERMITIDO_HTTPS | BYTES=5662
2026-06-07T23:02:48.792617300 | IP=192.168.1.12 | METHOD=CONNECT | URL=ssl.gstatic.com | STATUS=PERMITIDO_HTTPS | BYTES=4024
2026-06-07T23:02:49.848574400 | IP=192.168.1.12 | METHOD=CONNECT | URL=github.com | STATUS=PERMITIDO_HTTPS | BYTES=10794
2026-06-07T23:02:49.911442600 | IP=192.168.1.12 | METHOD=CONNECT | URL=alive.github.com | STATUS=PERMITIDO_HTTPS | BYTES=6612
2026-06-07T23:02:50.402604100 | IP=192.168.1.12 | METHOD=CONNECT | URL=edge-chat.instagram.com | STATUS=PERMITIDO_HTTPS | BYTES=4558
2026-06-07T23:02:50.559727600 | IP=192.168.1.12 | METHOD=CONNECT | URL=es.pornhub.com | STATUS=BLOQUEADO_HTTPS_SNI | BYTES=0
